Feature1,Feature2,Feature3,Target
0.496714153,0.926177548,1.399355437,0
-0.138264301,1.90941664,0.924633683,1
0.647688538,-1.398567574,0.05963037,1
1.523029856,0.562969237,-0.646936778,0
-0.234153375,-0.650642569,0.698223314,0
-0.234136957,-0.487125384,0.393485385,0
1.579212816,-0.592393924,0.89519322,1
0.767434729,-0.86399077,0.635171802,0
-0.469474386,0.048521628,1.049552715,1
0.542560044,-0.830950116,-0.535235212,1
-0.463417693,0.270456826,1.317394066,0
-0.465729754,-0.050238109,0.197599605,1
0.241962272,-0.238948047,2.075260873,1
-1.913280245,-0.907563662,-0.689187818,1
-1.724917833,-0.576771331,1.735963803,1
-0.562287529,0.755391226,0.197910783,0
-1.01283112,0.500917188,-0.651418004,0
0.314247333,-0.977555245,-0.483885834,1
-0.908024076,0.099332305,-0.320347308,1
-1.412303701,0.751387123,0.424165946,0
1.465648769,-1.669405281,0.522835488,1
-0.2257763,0.543360192,-0.573700004,0
0.067528205,-0.662623759,-0.024354592,1
-1.424748186,0.570598669,2.142270359,1
-0.544382725,-0.763259157,1.72754317,0
0.11092259,-1.804882101,0.43632367,0
-1.150993577,-1.627542438,0.038003478,0
0.375698018,0.048084947,0.120031327,0
-0.60063869,0.259722502,0.613517973,1
-0.29169375,-0.904316625,-1.022792565,0
-0.601706612,0.638592459,-0.257376537,1
1.852278185,-1.661520062,-1.668584074,0
-0.013497225,-0.066079799,0.399223123,0
-1.057710929,-1.2110162,0.64719594,1
0.822544912,-0.651836108,-0.483186462,0
-1.22084365,0.047398671,1.573986763,0
0.208863595,-0.860413365,-1.225765663,0
-1.959670124,-0.384555544,-1.46437488,0
-1.328186049,1.006292809,0.224451819,1
0.196861236,-0.57689187,1.047098303,1
0.73846658,0.835692112,1.683927691,0
0.171368281,-1.129706855,-0.458884263,0
-0.115648282,0.529804178,1.078680833,0
-0.301103696,1.441568621,-0.03850847,1
-1.47852199,-2.4716445,-0.1726273,1
-0.719844208,-0.796895255,0.883659937,1
-0.460638771,0.577072127,0.652322878,1
1.057122226,-0.203045386,-1.576392157,0
0.34361829,0.371145873,1.47654035,0
